NumeroArticulo,DescripcionArticulo,EnStock,UnidadMedida,GrupoArticulos,UltimaFechaCompra,UltimoPrecioCompra,UltimaMonedaCompra
RP1940,VALVULA SELENOIDE BLOWDOWN, 1.000 ,UNIDAD,REPUESTOS,, -   ,
RP1941,VALVULA SELENOIDE LOAD, 1.000 ,UNIDAD,REPUESTOS,, -   ,
RP1942,BANDA PARA COMPRESOR, 1.000 ,UNIDAD,REPUESTOS,, -   ,
RP1947,BALINERA 32211, 2.000 ,UNIDAD,REPUESTOS,25/08/2023, 608.690 ,COR
RP1984,TORNILLO M20X70, 3.000 ,UNIDAD,REPUESTOS,11/03/2021, 231.508 ,COR
RP199,RETENEDOR PATEN TRASERO 370003A, 9.000 ,UNIDAD,REPUESTOS,18/01/2024, 536.000 ,COR
RP2028,VALVULA DE BOLA 1/2, 5.000 ,UNIDAD,REPUESTOS,09/08/2023, 252.019 ,COR
RP210,BANDA SKF, 30.000 ,UNIDAD,REPUESTOS,25/10/2018," 1,661.850 ",COR
RP216,VALVULA AIRE AUTO 2 Pulgadas JIMTEN X295 ROJO, 1.000 ,UNIDAD,REPUESTOS,13/05/2017, 56.390 ,USD
RP220,VALVULA GLOBO A/CARBON 6 Pulgadas, 1.000 ,UNIDAD,REPUESTOS,20/12/2019," 1,040.930 ",USD
RP221,SOPORTE SNL 518-615 EJE 80MM, 5.000 ,UNIDAD,REPUESTOS,15/06/2020, 112.340 ,USD
RP2223,EXPANSOR DE TUBO, 3.000 ,UNIDAD,REPUESTOS,, -   ,
RP223,UNION TOPE H.G. CED 40 2 Pulgadas ROSC, 25.000 ,UNIDAD,REPUESTOS,28/10/2018, 10.530 ,USD
RP227,ADAPTADOR HEMBRA PVC A/P 3/4 Pulgadas, 743.000 ,UNIDAD,REPUESTOS,16/10/2024, 20.000 ,COR
RP232,MANGUITO H-316 EJE 70MM, 2.000 ,UNIDAD,REPUESTOS,28/05/2024," 1,433.293 ",COR
RP2345,BOMBA HEGA 05006-3AM, 3.000 ,UNIDAD,REPUESTOS,26/01/2023," 211,462.060 ",COR
RP2350,PISTOLA PARA SOPLETEAR 1/4, 1.000 ,UNIDAD,REPUESTOS,29/05/2019, 16.870 ,USD
RP2351,ESPARRAGO 3/4 Pulgadas, 70.000 ,UNIDAD,REPUESTOS,01/10/2021, 1.610 ,USD
RP2353,ACOPLE Y ESPIGA PARA HIDROLAVADORA, 4.000 ,UNIDAD,REPUESTOS,16/02/2021, 19.546 ,USD
RP2356,VALVULA CHECK 6 Pulgadas ANSI, 3.000 ,UNIDAD,REPUESTOS,13/10/2021, 105.460 ,USD
RP236,JUNTA ESPIROMETALICA 6 Pulgadas ANSI #300 MOD 9584GA, 17.000 ,UNIDAD,REPUESTOS,24/09/2021, 562.650 ,COR
RP2362,TUBO ESCAPE 188-0332, 1.000 ,UNIDAD,REPUESTOS,01/06/2019," 26,507.930 ",COR
RP2363,ACOPLE ESCAPE 232-1828, 2.000 ,UNIDAD,REPUESTOS,01/06/2019," 9,554.760 ",COR
RP2365,MANGUERA HIDRAULICA 1/4 100R2, 57.000 ,PIE,REPUESTOS,25/09/2021, 2.874 ,USD
